,index,id,attach_dist,is_attached,is_contained,is_matched,match_ids,match_overlaps,primary_pix,total_pix,primary_deposition,total_deposition,ke
129,50,29,0.3000030517578125,True,True,True,[5 6],[0.75510204 0.01968504],45,45,12.127900123596191,12.127900123596191,12.684754890049232
130,50,63,0.2999267578125,True,True,True,[50 51],[0.62765956 0.01706485],80,80,15.517424583435059,15.517424583435059,21.563813383182577
131,50,70,0.29998779296875,True,True,True,[2 3],[0.76       0.00722022],87,87,18.95793914794922,18.95793914794922,27.779718232776098
132,51,43,1.199951171875,True,False,True,[79 81],[0.8562874  0.01923077],117,155,29.11725616455078,41.291908264160156,51.0114137601686
133,51,56,0.29998779296875,True,True,True,[28 29],[0.7762238 0.0042735],122,132,22.493967056274414,26.30176544189453,36.20376796873012
134,51,57,0.300018310546875,True,True,True,[91 92],[0.87777776 0.004     ],85,85,34.4390754699707,34.4390754699707,48.39818848416957
135,51,68,0.300018310546875,True,True,True,[32],[0.872449],184,184,40.46593475341797,40.46593475341797,47.056463989752
136,51,72,0.3000030517578125,True,True,True,[93 94],[0.6859504  0.00163265],95,107,30.827770233154297,34.181297302246094,45.098870849834356
137,51,108,0.29998779296875,True,True,True,[15 16],[0.7536232  0.00420521],11,63,1.9840513467788696,12.430428504943848,29.25729798088747
138,53,29,0.29998779296875,True,True,True,[23 24],[0.7244898  0.08737864],91,91,27.01242446899414,27.01242446899414,47.558082206774245
139,53,88,0.2999267578125,True,True,True,[31 32],[0.71875    0.00247729],86,86,18.63795280456543,18.63795280456543,30.175802722794824
140,53,94,0.2999267578125,True,True,True,[29 30],[0.79888266 0.0212766 ],172,172,32.242164611816406,32.242164611816406,35.43304514999856
141,54,46,0.300048828125,True,True,True,[28 29],[0.8627451  0.00218341],78,94,15.382880210876465,19.61614227294922,24.34738665207955
142,55,56,0.29998779296875,True,True,True,[59],[0.84732825],123,123,26.120288848876953,26.120288848876953,35.15165419015235
143,55,91,inf,False,False,True,[113],[0.70454544],122,122,30.090744018554688,30.090744018554688,51.50011045391357
144,55,141,0.3000030517578125,True,True,True,[55],[0.66071427],46,46,11.442488670349121,11.442488670349121,13.99846616493367
145,56,40,0.2999267578125,True,True,True,[66 67 68],[0.56626505 0.075      0.00614334],78,78,14.51251220703125,14.51251220703125,30.42960590536391
146,56,66,0.2999267578125,True,False,True,[24],[0.76666665],125,125,27.73705291748047,27.73705291748047,41.40996082409567
147,56,69,0.2999267578125,True,True,True,[26 29],[8.581560e-01 7.254262e-04],134,134,34.864219665527344,34.864219665527344,37.2890108313175
148,57,50,0.29998779296875,True,True,True,[4],[0.875],130,161,32.62977600097656,42.575233459472656,49.53229933186042
149,57,67,0.29998779296875,True,False,True,[98 99],[0.80263156 0.00854701],71,71,13.904311180114746,13.904311180114746,31.799116832198756
150,57,68,0.29998779296875,True,True,True,[96],[0.704918],45,45,10.380772590637207,10.380772590637207,10.562443437516027
151,57,96,0.29998779296875,True,False,True,[94 95],[0.8333333  0.00350877],89,89,19.068761825561523,19.068761825561523,24.63321796716614
152,58,27,0.6707930974982584,True,False,True,[25],[0.67407405],105,120,34.47060012817383,38.95718002319336,51.913736480564744
153,58,39,0.29998779296875,True,True,True,[12 13],[0.7074468  0.01457976],167,167,34.661651611328125,34.661651611328125,44.12753529059838
154,58,41,0.29998779296875,True,True,True,[23 24],[0.8245614  0.00205761],104,104,22.670434951782227,22.670434951782227,26.891676252453188
155,58,47,0.29998779296875,True,True,True,[10 11],[0.77835053 0.0009311 ],112,174,19.44480323791504,33.80586242675781,39.590685155287986
156,58,52,0.6708272171878565,True,True,True,[16],[0.80625],141,141,41.149879455566406,41.149879455566406,47.60869551605465
157,58,76,0.89996337890625,True,True,True,[57],[0.8380282],73,122,23.802486419677734,39.5682487487793,49.71312907774805
158,59,54,0.29998779296875,True,True,True,[196 197],[8.9784944e-01 2.6609900e-04],173,173,33.12501525878906,33.12501525878906,38.34222440652401
159,59,67,0.29998779296875,True,True,True,[79 81],[0.29411766 0.0032345 ],14,14,3.1781861782073975,3.1781861782073975,10.749167158196164
160,59,121,0.2999267578125,True,True,True,[198 199],[0.8540146  0.00389972],130,130,29.81663703918457,29.81663703918457,42.036103405845886
161,59,191,0.29998779296875,True,True,True,[194 195],[0.8819444  0.00214592],135,135,37.29728698730469,37.29728698730469,45.75722699978708
162,60,51,0.4242575950931961,False,True,True,[4],[0.79310346],75,75,17.88463020324707,17.88463020324707,22.504047847420907
163,60,134,0.29998779296875,True,True,True,[126 127],[7.8680205e-01 5.5248616e-04],117,169,21.45020866394043,34.0888557434082,39.68926500921169
164,60,158,0.300018310546875,True,True,True,[47 48],[0.90643275 0.00777202],133,166,35.651092529296875,44.21269989013672,51.44678079980345
165,61,32,0.29998779296875,False,True,True,[34 36],[0.62711865 0.00235988],58,58,15.65357494354248,15.65357494354248,19.16450751921461
